  [1,]     6100 1622.23 26.59       5870         5763         5965            34.17     7825       3322       9375          25.63
 [2,]     8198 1830.18 22.32       7959         7859         8083            31.79     6861       4837      11657          36.88
 [3,]     2709  716.80 26.46       2622         2581         2675            36.38     2046       1503       4180          46.63
 [4,]    12701 2668.64 21.01      12484        12242        12597            27.34    11162       7918      17968          30.58
 [5,]     4906 1106.08 22.55       4818         4732         4893            28.47     4068       3088       7308          33.71
 [6,]     6305 1337.42 21.21       6208         6096         6293            27.43     6286       3727       8836          27.09
 [7,]     8309 2327.47 28.01       7893         7697         8003            36.81     6657       4211      12750          43.64
 [8,]    11894 2618.92 22.02      11574        11436        11694            31.11    11570       7596      17033          31.12
 [9,]     8008 1920.72 23.98       7796         7698         7933            33.47     6548       4523      11814          39.85
[10,]     7091 1454.28 20.51       6965         6887         7039            26.14     7777       4411       9926          23.41
[11,]     7460 1546.32 20.73       7274         7213         7383            27.90     6108       4551      10399          33.23
[12,]     3424  961.24 28.07       3303         3239         3364            35.62     2967       1618       5312          39.65
[13,]     4618 1372.38 29.72       4481         4385         4551            39.85     4334       2157       7235          41.20
[14,]     6481 1450.50 22.38       6351         6234         6456            30.02     6185       3736       9222          30.82
[15,]     9046 1819.59 20.12       8838         8714         8967            27.27    10426       5985      12796          23.12
[16,]     7634 1701.95 22.29       7490         7371         7586            28.19     7182       4700      11312          29.40
[17,]     1874  596.47 31.82       1786         1753         1834            44.39     1645        831       3095          48.19
[18,]     7182 1763.70 24.56       6960         6867         7040            33.33     8341       4017      10639          27.81
[19,]     5982 1099.12 18.37       5888         5809         5959            25.19     5343       4012       8187          27.77
[20,]     4465 1078.97 24.17       4364         4316         4435            31.67     4026       2338       6470          34.33
[21,]     3849 1121.45 29.14       3697         3655         3760            37.98     4034       1932       5951          34.81
[22,]     5211 1810.01 34.74       5030         4913         5156            42.31     4543       2037       8840          46.84
[23,]     4474 1693.05 37.84       4263         4127         4365            51.55     4817       1584       7660          45.62
[24,]     5155 1266.62 24.57       4966         4890         5032            33.24     4571       2774       7552          36.12
